title,company,location,link
[AI R&D] Language AI(NLP) Research 분야 수시 채용,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1 
IT 개발 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=5b7082e6fa4b1bde 
보험 신규사업 비즈니스 분야 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=e30f23f4f814b717 
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768 
"IT Analyst, E-Commerce",Procter & Gamble,서울,https://kr.indeed.com/viewjob?jk=784cd549a392c126 
[NIT Service] NAVER IDC 서버 운영/관리(가산),엔아이티서비스,서울 금천구,https://kr.indeed.com/viewjob?jk=15747ed3139134b9 
Data Scientist III,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=67ca30c143379281 
글로벌 빅데이터 분석 및 전략 수립,현대자동차그룹,서울,https://kr.indeed.com/viewjob?jk=dc59fd2cdb46b5ff 
Launcher팀 소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=d71794dc69947981 
"디어젠(주), Machine Learning Engineer 하반기 신입",디어젠,서울 강남구,https://kr.indeed.com/viewjob?jk=98e1e0c4dbd778e2 
11번가 QA 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=4a491598cdafd777 
[Search] Global API 서빙 플랫폼 개발,네이버,서울,https://kr.indeed.com/viewjob?jk=6644e94fb52e7c0b 
Machine Learning Lithography Modeling Product Engineer,Synopsys,경기도 성남,https://kr.indeed.com/viewjob?jk=89f33b55066796da 
[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버,서울,https://kr.indeed.com/viewjob?jk=a41d35173ffe4666 
[큐셀] 시스템개발센터 경력사원 [시스템개발팀 Data Scientist],한화솔루션,서울 중구,https://kr.indeed.com/viewjob?jk=6069763b91056df8 
BS Marketing Anlaytics 인원,LG전자,서울 영등포구,https://kr.indeed.com/viewjob?jk=d826f74b1952b4b7 
Data Scientist,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=5bc622575fee61b8 
(성남시민 주목) 웹 개발자 전문가 양성과정 참여자,성남산업진흥원,성남 분당구,https://kr.indeed.com/viewjob?jk=e2394d668d5c6895 
AI 기반 웹앱서비스의 프론트/백엔드 리드 개발자,피큐레잇,서울 마포구,https://kr.indeed.com/viewjob?jk=1d5b945bf847d7ad 
Business Data Analyst,Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=166aa0c72e94a266 
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d 
퀀트연구원:이공계 수학역량 우수 인재,디에스파트너즈그룹,서울,https://kr.indeed.com/viewjob?jk=2fa7c885c6e22322 
백엔드 개발자(데이터 엔지니어) - Junior,유저해빗,서울 마포구,https://kr.indeed.com/viewjob?jk=0d5c5371dd25b265 
Chief Technology Officer,Asiance,서울,https://kr.indeed.com/viewjob?jk=4484523b503e0f07 
Solutions Engineer,Confluent,서울,https://kr.indeed.com/viewjob?jk=6a399a2c059ebbb1 
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=62531072e6eeb4a8 
Business Data Analyst(Hakuna),하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=09771a6f79b71060 
백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/viewjob?jk=23afcf5a12864467 
데이터 사이언티스트 / Data Scientist,Bagelcode,서울,https://kr.indeed.com/viewjob?jk=d0ae3cf7638734ac 
Cloud Application Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=68464bd58ea636c4 
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/viewjob?jk=70fccff4d30cb6bf 
Quantitative Researcher(이공계전공 우수인재 영입),디에스파트너즈그룹,서울,https://kr.indeed.com/viewjob?jk=990f18f975068390 
[AI Lab] Machine Learning 데이터 사이언티스트 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/viewjob?jk=a93103d6dd6d208e 
빌드센터 경력,LG CNS,서울,https://kr.indeed.com/viewjob?jk=4a38d537dec8f46e 
분석지원팀 - 데이터 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=4233609a843b5e96 
[Robotics] Deep Reinforcement Learning Engineer,네이버,서울,https://kr.indeed.com/viewjob?jk=05d6f01f9a494a1b 
Senior Data Scientist - AWS Professional Services,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=37da5b148b2d3ef4 
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311 
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=02600c41e654780a 
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a 
ISV Cloud Architect,Oracle,서울,https://kr.indeed.com/viewjob?jk=fe5414158656f438 
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9 
[Search] AI 기반 글로벌 추천 서비스/시스템 개발,네이버,서울,https://kr.indeed.com/viewjob?jk=acd5236360359c2f 
Security Developer (보안 개발자) (인재풀),비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=e4066119c5e9d0da 
[Search] 글로벌 콘텐츠 검색/ AI 기술 개발 신입/경력사원,네이버,서울,https://kr.indeed.com/viewjob?jk=90104004fabe2502 
Production Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=1dfcccd87594a1a8 
